,sender,receiver,time
323,Ike06,Ike16,1278.0064041666667
324,Ike16,Ike06,1278.1988622222223
325,Ike18,Ike09,1288.9849091666667
326,Ike12,Ike15,1293.2781505555556
327,Ike09,Ike18,1319.1624825
328,Ike13,Ike22,1325.1019555555556
329,Ike22,Ike13,1325.412803611111
330,Ike13,Ike22,1325.4673377777779
331,Ike13,Ike11,1338.58233
332,Ike22,Ike11,1340.0298380555555
333,Ike08,Ike18,1343.9089622222223
334,Ike18,Ike13,1344.5297872222222
335,Ike13,Ike18,1344.6157236111112
336,Ike14,Ike18,1344.8787013888889
337,Ike18,Ike14,1345.1897575
338,Ike14,Ike13,1345.4846763888888
339,Ike18,Ike12,1348.3975275
340,Ike12,Ike18,1350.8388527777777
341,Ike09,Ike13,1361.7430036111111
342,Ike11,Ike22,1361.8207477777778
343,Ike05,Ike15,1361.8941025
344,Ike02,Ike22,1361.9282822222222
345,Ike05,Ike15,1361.9685488888888
346,Ike03,Ike13,1361.9758808333333
347,Ike15,Ike06,1362.0840941666668
348,Ike06,Ike15,1362.1119197222222
349,Ike13,Ike03,1362.1763802777778
350,Ike15,Ike06,1362.6119927777777
351,Ike15,Ike12,1362.8640972222222
352,Ike22,Ike02,1363.5733102777779
353,Ike16,Ike22,1363.601661111111
354,Ike22,Ike16,1363.6178025
355,Ike12,Ike15,1363.6555072222222
356,Ike09,Ike13,1364.8397141666667
357,Ike01,Ike07,1365.135575277778
358,Ike22,Ike02,1365.9512425
359,Ike11,Ike22,1365.956788888889
360,Ike22,Ike11,1366.0002461111112
361,Ike15,Ike12,1366.3126136111111
362,Ike22,Ike11,1366.3978658333333
363,Ike14,Ike22,1366.5869833333334
364,Ike22,Ike15,1366.5886691666667
365,Ike22,Ike14,1366.601626388889
366,Ike14,Ike22,1366.620481111111
367,Ike22,Ike14,1366.6311847222223
368,Ike22,Ike11,1366.7608952777778
369,Ike11,Ike22,1366.7801936111111
370,Ike11,Ike22,1366.8717655555556
371,Ike04,Ike22,1366.889511111111
372,Ike22,Ike11,1366.9134244444444
373,Ike22,Ike11,1366.9373708333333
374,Ike22,Ike16,1366.940486388889
375,Ike22,Ike02,1366.9421766666667
376,Ike02,Ike22,1367.0452513888888
377,Ike13,Ike17,1367.2752888888888
378,Ike17,Ike13,1369.228198888889
379,Ike12,Ike10,1373.8114905555556
380,Ike05,Ike13,1382.119348611111
381,Ike09,Ike13,1388.5442952777778
382,Ike18,Ike22,1395.898788611111
383,Ike12,Ike18,1397.8218558333333
